store_id,business_name,town,phone_number,scraped_at
1c5653ae-1f66-4518-a226-6c35af1a2d26,Hellcat Jewellery,Birmingham,,2025-06-14 00:06:43 UTC
4ea0a4c3-c197-4c05-ad57-2a4e1023457f,Caroline Creba Fine Jewellery,,07870 603 091,2025-06-14 00:06:43 UTC
92fb777a-d17a-4dcd-bc9e-a26ddcf1c108,April Dace Jewellery,Dereham,,2025-06-14 00:06:43 UTC
65b704ee-1116-4556-9019-b9fa41c182d6,Audacious Jewellery,Sutton Coldfield,07745230466,2025-06-14 00:06:43 UTC
0c3e77d6-8313-44c2-97c1-b876f0e1e1d6,JE Marlow &amp; Sons,Birmingham,0121 233 1330,2025-06-14 00:06:43 UTC
303d01f9-eb7c-427d-9d5c-e4c438891f4c,Aardvark Jewellery,Birmingham,07904 780313,2025-06-14 00:06:43 UTC
3cf589d1-0089-4ee6-bb3c-ba08da02c5af,Prakash Gem Merchant &amp; Jeweller,,0121 427 4653,2025-06-14 00:06:43 UTC
e65694ac-b6ff-4cb2-a8e2-ff7ceb058a66,Rudells (B17 9NR),Birmingham,0121 427 1904,2025-06-14 00:06:43 UTC
4da99d29-a83d-4f21-b9d0-013a7e88f7f3,T H Baker (B2 4BF),Birmingham,0121 634 3229,2025-06-14 00:06:43 UTC
ac7bccd4-0851-4a24-9140-e64d48c75781,T H Baker &amp; Co Ltd (WS1 1NG),Walsall,01922 624391,2025-06-14 00:06:43 UTC
fbc54704-d524-42fa-a15d-80835585fc42,Signet Group Plc,Birmingham,0870 9090301,2025-06-14 00:06:43 UTC
667c6147-dcf1-490e-a965-7b593daa2d0e,Shipton &amp; Co Ltd,Birmingham,0121 236 2427,2025-06-14 00:06:43 UTC
d2f98b6f-9820-4f0a-bf88-eeb5c579db7d,Samson Gold Ltd,Birmingham,0121 236 7075,2025-06-14 00:06:43 UTC
bc38dbfb-31da-4759-a0a9-101a4e6152dc,S J Cheshire (B91 3GH ),Solihull,0121 709 2700,2025-06-14 00:06:43 UTC
bbcf4930-c577-4c12-a7f9-d896c9980c53,S J Cheshire,Birmingham,0121 236 6787,2025-06-14 00:06:43 UTC
eefc7a94-0d14-41a1-aa7c-7b064ef84a06,Roberts Jewellers,Birmingham,0121 633 3260,2025-06-14 00:06:43 UTC
14a7a6a0-1903-4c34-9fdc-2f6ede904b18,Rex Johnson &amp; Sons,Birmingham,0121 643 9674,2025-06-14 00:06:43 UTC
